Virat Kohli,17 crores
Manish Pandey,11 crores
Priyam Garg,1.9 crores
Jason Roy,2 crores
Wriddhiman Saha,1.2 crores
Jonny Bairstow,2.2 crores
Sreevats Goswami,1 crore
Kedar Jadhav,2 crores
J Suchit,30 lakhs
Jason Holder,75 lakhs
Abhishek Sharma,55 lakhs
Abdul Samad,20 lakhs
Vijay Shankar,3.2 crores
Mohammad Nabi,2 crores
Rashid Khan,9 crores
T Natarajan,40 lakhs
Sandeep Sharma,3 crores
Bhuvneshwar Kumar,8.50 lakhs
Khaleel Ahmed,3 crores
Siddharth Kaul,3.8 crores
Basil Thampi,95 lakhs
Shahbaz Nadeem,3.2 crores
Mujeeb ur Rahman,1.5 crores
