Player,Price,Role
Chetan Sakariya,1.2,Bowler
KC Cariappa,1.2,Bowler
Akash Singh,0.2,Bowler
Tabraiz Shamsi,0.5,Bowler
David Warner,12.5,Batsman
Kane Williamson,3.0,Batsman
Virat Singh,1.9,Batsman
Manish Pandey,11.0,Batsman
Priyam Garg,1.9,Batsman
Jason Roy,2.0,Batsman
Wriddhiman Saha,1.2,Batsman
Jonny Bairstow,2.2,Batsman
Sreevats Goswami,1.0,Batsman
Kedar Jadhav,2.0,All Rounder
J Suchit,0.3,All Rounder
Jason Holder,0.75,All Rounder
Abhishek Sharma,0.55,All Rounder
Abdul Samad,0.2,All Rounder
Vijay Shankar,3.2,All Rounder
Mohammad Nabi,2.0,All Rounder
Rashid Khan,9.0,Bowler
T Natarajan,0.4,Bowler
Sandeep Sharma,3.0,Bowler
Bhuvneshwar Kumar,0.09,Bowler
Khaleel Ahmed,3.0,Bowler
Siddharth Kaul,3.8,Bowler
Basil Thampi,0.95,Bowler
Shahbaz Nadeem,3.2,Bowler
Mujeeb ur Rahman,1.5,Bowler
